Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12 00:00:00-05:00,0.09872593730688095,0.09915515669143314,0.09872593730688095,0.09872593730688095,469033600,0.0,0.0
1980-12-15 00:00:00-05:00,0.0940045478986343,0.0940045478986343,0.09357532858848572,0.09357532858848572,175884800,0.0,0.0
1980-12-16 00:00:00-05:00,0.08713629889001713,0.08713629889001713,0.08670708537101746,0.08670708537101746,105728000,0.0,0.0
1980-12-17 00:00:00-05:00,0.08885316550731659,0.08928238476255296,0.08885316550731659,0.08885316550731659,86441600,0.0,0.0
1980-12-18 00:00:00-05:00,0.09142926335334778,0.09185847699877044,0.09142926335334778,0.09142926335334778,73449600,0.0,0.0
1980-12-19 00:00:00-05:00,0.09700904786586761,0.09743826714704135,0.09700904786586761,0.09700904786586761,48630400,0.0,0.0
1980-12-22 00:00:00-05:00,0.10173046588897705,0.10216045324927195,0.10173046588897705,0.10173046588897705,37363200,0.0,0.0
1980-12-23 00:00:00-05:00,0.10602336376905441,0.10645258305165159,0.10602336376905441,0.10602336376905441,46950400,0.0,0.0
1980-12-24 00:00:00-05:00,0.11160324513912201,0.11203246467202245,0.11160324513912201,0.11160324513912201,48003200,0.0,0.0
1980-12-26 00:00:00-05:00,0.12190512567758559,0.12233434490262861,0.12190512567758559,0.1219051256775856,55574400,0.0,0.0
1980-12-29 00:00:00-05:00,0.12362197786569597,0.12405119704473452,0.12362197786569597,0.12362197786569595,93161600,0.0,0.0
1980-12-30 00:00:00-05:00,0.12104671675594401,0.12104671675594401,0.12061750888824463,0.12061750888824463,68880000,0.0,0.0
1980-12-31 00:00:00-05:00,0.11761301646403338,0.11761301646403338,0.11718379706144333,0.11718379706144333,35750400,0.0,0.0
1981-01-02 00:00:00-05:00,0.11847138404846191,0.11932982242063311,0.11847138404846191,0.11847138404846191,21660800,0.0,0.0
1981-01-05 00:00:00-05:00,0.11632531354185237,0.11632531354185237,0.11589610576629639,0.11589610576629639,35728000,0.0,0.0
1981-01-06 00:00:00-05:00,0.11117397131312769,0.11117397131312769,0.11074475198984146,0.11074475198984146,45158400,0.0,0.0
1981-01-07 00:00:00-05:00,0.10645258305165159,0.10645258305165159,0.10602336376905441,0.10602336376905441,55686400,0.0,0.0
1981-01-08 00:00:00-05:00,0.10430649890720443,0.10430649890720443,0.10387729108333588,0.10387729108333588,39827200,0.0,0.0
1981-01-09 00:00:00-05:00,0.10945713520050049,0.10988635464032316,0.10945713520050049,0.10945713520050049,21504000,0.0,0.0
1981-01-12 00:00:00-05:00,0.10945709898712963,0.10945709898712963,0.10859867185354233,0.10859867185354233,23699200,0.0,0.0
1981-01-13 00:00:00-05:00,0.10516498134582807,0.10516498134582807,0.10473576188087463,0.10473576188087463,23049600,0.0,0.0
1981-01-14 00:00:00-05:00,0.10516494512557982,0.10559416444270424,0.10516494512557982,0.10516494512557983,14291200,0.0,0.0
1981-01-15 00:00:00-05:00,0.10731101781129837,0.10816944488400329,0.10731101781129837,0.10731101781129837,14067200,0.0,0.0
1981-01-16 00:00:00-05:00,0.10688182599602326,0.10688182599602326,0.10645260661840439,0.10645260661840439,13395200,0.0,0.0
1981-01-19 00:00:00-05:00,0.1128908321261406,0.1133200514303477,0.1128908321261406,0.1128908321261406,41574400,0.0,0.0
1981-01-20 00:00:00-05:00,0.10988635464032316,0.10988635464032316,0.10945713520050049,0.10945713520050049,30083200,0.0,0.0
1981-01-21 00:00:00-05:00,0.11160324513912201,0.11246167274286899,0.11160324513912201,0.11160324513912201,15904000,0.0,0.0
1981-01-22 00:00:00-05:00,0.1128908321261406,0.1137492707345548,0.1128908321261406,0.1128908321261406,35548800,0.0,0.0
1981-01-23 00:00:00-05:00,0.11289089076031576,0.11332011028745434,0.11246167123317717,0.11246167123317719,11222400,0.0,0.0
1981-01-26 00:00:00-05:00,0.11117397131312769,0.11117397131312769,0.11074475198984146,0.11074475198984146,24640000,0.0,0.0
1981-01-27 00:00:00-05:00,0.11074470052733967,0.11074470052733967,0.1098862737417221,0.1098862737417221,23699200,0.0,0.0
1981-01-28 00:00:00-05:00,0.10688182599602326,0.10688182599602326,0.10645260661840439,0.10645260661840439,28156800,0.0,0.0
1981-01-29 00:00:00-05:00,0.10301886382472396,0.10301886382472396,0.10258964449167252,0.10258964449167252,43904000,0.0,0.0
1981-01-30 00:00:00-05:00,0.09786748642821508,0.09786748642821508,0.09700904786586761,0.09700904786586761,46188800,0.0,0.0
1981-02-02 00:00:00-05:00,0.09185847699877044,0.09185847699877044,0.09142926335334778,0.09142926335334778,23766400,0.0,0.0
1981-02-03 00:00:00-05:00,0.09486300498247147,0.09529221867106591,0.09486300498247147,0.09486300498247147,19152000,0.0,0.0
1981-02-04 00:00:00-05:00,0.09829674661159515,0.0987259546093192,0.09829674661159515,0.09829674661159515,27865600,0.0,0.0
1981-02-05 00:00:00-05:00,0.09829674661159515,0.0991551740690952,0.09829674661159515,0.09829674661159515,7929600,0.0,0.0
1981-02-06 00:00:00-05:00,0.09872593730688095,0.09915515669143314,0.09872593730688095,0.09872593730688095,13865600,0.0,0.0
1981-02-09 00:00:00-05:00,0.0944337614777589,0.0944337614777589,0.09357532858848572,0.09357532858848572,16755200,0.0,0.0
1981-02-10 00:00:00-05:00,0.09357532858848572,0.0940045478986343,0.09357532858848572,0.09357532858848572,18345600,0.0,0.0
1981-02-11 00:00:00-05:00,0.09100006590932361,0.09100006590932361,0.0905708521604538,0.0905708521604538,13843200,0.0,0.0
1981-02-12 00:00:00-05:00,0.09014157878168047,0.09014157878168047,0.08971159160137177,0.08971159160137177,14560000,0.0,0.0
1981-02-13 00:00:00-05:00,0.08842394416865831,0.08842394416865831,0.08756551146507263,0.08756551146507263,11155200,0.0,0.0
1981-02-17 00:00:00-05:00,0.08971159160137177,0.09014157878168047,0.08971159160137177,0.08971159160137177,12275200,0.0,0.0
1981-02-18 00:00:00-05:00,0.09357532858848572,0.0944337614777589,0.09357532858848572,0.09357532858848572,19241600,0.0,0.0
1981-02-19 00:00:00-05:00,0.08842399613572227,0.08842399613572227,0.0879947766661644,0.0879947766661644,22310400,0.0,0.0
1981-02-20 00:00:00-05:00,0.08370257791548955,0.08370257791548955,0.08327335864305496,0.08327335864305496,24371200,0.0,0.0
1981-02-23 00:00:00-05:00,0.08456102013587952,0.08499023948515018,0.08456102013587952,0.08456102013587952,14112000,0.0,0.0
1981-02-24 00:00:00-05:00,0.08241493941025024,0.08241493941025024,0.08155650645494461,0.08155650645494461,16979200,0.0,0.0
1981-02-25 00:00:00-05:00,0.08670708537101746,0.08713629889001713,0.08670708537101746,0.08670708537101746,19488000,0.0,0.0
1981-02-26 00:00:00-05:00,0.0879947766661644,0.08842399613572227,0.0879947766661644,0.0879947766661644,10841600,0.0,0.0
1981-02-27 00:00:00-05:00,0.091000035405159,0.09185846834616918,0.091000035405159,0.091000035405159,14761600,0.0,0.0
1981-03-02 00:00:00-05:00,0.09142926335334778,0.09185847699877044,0.09142926335334778,0.09142926335334778,11760000,0.0,0.0
1981-03-03 00:00:00-05:00,0.09057082867972362,0.09057082867972362,0.09014160931110382,0.09014160931110382,16172800,0.0,0.0
1981-03-04 00:00:00-05:00,0.08971160702150872,0.08971160702150872,0.08928239345550537,0.08928239345550537,13708800,0.0,0.0
1981-03-05 00:00:00-05:00,0.08928238476255296,0.08928238476255296,0.08885316550731659,0.08885316550731659,5376000,0.0,0.0
1981-03-06 00:00:00-05:00,0.08885320987425402,0.08885320987425402,0.0879947766661644,0.0879947766661644,11603200,0.0,0.0
1981-03-09 00:00:00-05:00,0.08155649953304864,0.08155649953304864,0.08112728595733643,0.08112728595733643,15321600,0.0,0.0
1981-03-10 00:00:00-05:00,0.07769273996895719,0.07769273996895719,0.07726352661848068,0.07726352661848068,28380800,0.0,0.0
1981-03-11 00:00:00-05:00,0.07511746801081841,0.07511746801081841,0.07425903528928757,0.07425903528928757,29859200,0.0,0.0
1981-03-12 00:00:00-05:00,0.07726352661848068,0.07769273996895719,0.07726352661848068,0.07726352661848068,59248000,0.0,0.0
1981-03-13 00:00:00-05:00,0.07683433638781087,0.07683433638781087,0.0764051228761673,0.0764051228761673,231302400,0.0,0.0
1981-03-16 00:00:00-05:00,0.07941042631864548,0.08026885926731862,0.07941042631864548,0.07941042631864548,37228800,0.0,0.0
1981-03-17 00:00:00-05:00,0.08327335864305496,0.08413179145690065,0.08327335864305496,0.08327335864305496,43747200,0.0,0.0
1981-03-18 00:00:00-05:00,0.08842398971319199,0.08928242285893073,0.08842398971319199,0.08842398971319199,36937600,0.0,0.0
1981-03-19 00:00:00-05:00,0.0879947249513541,0.0879947249513541,0.08756551146507263,0.08756551146507263,37811200,0.0,0.0
1981-03-20 00:00:00-05:00,0.08842398971319199,0.08928242285893073,0.08842398971319199,0.08842398971319199,14604800,0.0,0.0
1981-03-23 00:00:00-05:00,0.09185847640037537,0.09271690941665348,0.09185847640037537,0.09185847640037537,22019200,0.0,0.0
1981-03-24 00:00:00-05:00,0.09185847699877044,0.09185847699877044,0.09142926335334778,0.09142926335334778,28156800,0.0,0.0
1981-03-25 00:00:00-05:00,0.09057079800493101,0.09057079800493101,0.08971159160137177,0.08971159160137177,7056000,0.0,0.0
1981-03-26 00:00:00-05:00,0.08842399613572227,0.08842399613572227,0.0879947766661644,0.0879947766661644,12275200,0.0,0.0
1981-03-27 00:00:00-05:00,0.08541946923394746,0.08541946923394746,0.0849902555346489,0.0849902555346489,12252800,0.0,0.0
1981-03-30 00:00:00-05:00,0.0849902555346489,0.0858486886642716,0.0849902555346489,0.0849902555346489,9900800,0.0,0.0
1981-03-31 00:00:00-05:00,0.08499024006219713,0.08499024006219713,0.08413180708885193,0.08413180708885193,15993600,0.0,0.0
